name,film,boxoffice
Raja Gosnell,6.0,1691542081.0
Will Finn,1.0,103951461.0
John Sanford,1.0,103951461.0
Jan de Bont,5.0,1257122028.0
Len Wiseman,3.0,590580722.0
Frank Coraci,7.0,862299382.0
Michael Mann,6.0,673131444.0
Bo Welch,1.0,133960.0
Ron Clements,3.0,880674099.0
John Musker,3.0,880674099.0
Peter Chelsom,5.0,413562335.0
Dominic Sena,3.0,396488740.0
Tony Scott,12.0,1867920739.0
Paul Weitz,8.0,863610448.0
Adam McKay,6.0,859076455.0
Chuck Russell,6.0,804005373.0
Quentin Tarantino,10.0,1530968694.0
Gary Trousdale,2.0,286192576.0
Kirk Wise,2.0,286192576.0
Mark Dindal,3.0,487326989.0
Simon West,8.0,1087881164.0
Stefen Fangmeier,1.0,249288105.0
Spike Jonze,4.0,203102813.0
Chris Wedge,3.0,912380764.0
Florian Henckel von Donnersmarck,2.0,348731369.0
Peter Hyams,6.0,380635688.0
Tom Tykwer,6.0,337561089.0
Pitof,1.0,82102379.0
Brad Silberling,4.0,565313189.0
Patrick Hughes,1.0,206172544.0
Ericson Core,1.0,133718711.0
Lawrence Guterman,2.0,93432703.0
Ron Underwood,3.0,55675974.0
Steve Martino,2.0,1123477895.0
David Mamet,2.0,13835131.0
Zhang Yimou,6.0,365569814.0
Ash Brannon,1.0,149044513.0
Frank Oz,7.0,295173880.0
Jay Roach,8.0,1722550236.0
Luc Besson,5.0,565778217.0
Michael Patrick King,1.0,288347692.0
Don Michael Paul,3.0,76432729.0
Bibo Bergeron,3.0,470708127.0
Mike Thurmeier,1.0,877244782.0
Sergei Bodrov,2.0,140706123.0
Wally Pfister,1.0,103039258.0
Rupert Wyatt,2.0,522031315.0
Mark Waters,6.0,702753525.0
John Moore,4.0,502833469.0
John Lee Hancock,4.0,523169892.0
Renny Harlin,15.0,1031500590.0
Phil Lord,4.0,1102176100.0
Christopher Miller,4.0,1102176100.0
Ben Stiller,5.0,595781748.0
Tony Bancroft,1.0,304320254.0
Barry Cook,3.0,431014191.0
Timur Bekmambetov,4.0,496596458.0
Walt Becker,4.0,617875773.0
Dennis Dugan,9.0,1445025259.0
Sydney Pollack,5.0,813501065.0
Thor Freudenthal,3.0,323313709.0
Brian De Palma,12.0,921220751.0
Mick Jackson,2.0,411129563.0
Alan J. Pakula,2.0,336075603.0
Kathryn Bigelow,3.0,209989682.0
John Milius,3.0,117490583.0
Andrei Konchalovsky,2.0,79587573.0
Gary Ross,3.0,864583087.0
Paul W.S. Anderson,10.0,1301861740.0
Genndy Tartakovsky,3.0,831602562.0
Kevin Lima,2.0,524099423.0
Daniel Espinosa,3.0,211400536.0
Nancy Meyers,5.0,1248677472.0
Jill Culton,1.0,197309027.0
Roger Allers,2.0,985550803.0
Anthony Stacchi,2.0,305564797.0
Neil Burger,4.0,375662914.0
Jean-Jacques Annaud,4.0,345866560.0
Sarah Smith,1.0,147419.0
Martin Brest,4.0,504980393.0
Andrew Davis,4.0,578874100.0
Bob Fosse,2.0,57823676.0
Tarsem Singh,4.0,544601608.0
Edgar Wright,5.0,229404909.0
Jon Amiel,4.0,300414419.0
Peter Segal,7.0,836836707.0
Pete Travis,2.0,192199233.0
George A. Romero,7.0,137550294.0
Sylvester Stallone,2.0,430191526.0
Todd Phillips,7.0,1320393375.0
Karey Kirkpatrick,2.0,343397248.0
Gary Winick,5.0,440158984.0
Mimi Leder,3.0,306635215.0
Seth Gordon,4.0,454802442.0
Adam Shankman,8.0,873562773.0
D.J. Caruso,4.0,440996231.0
Anthony Minghella,3.0,533788199.0
Albert Hughes,3.0,259565870.0
Allen Hughes,4.0,279267034.0
Les Mayfield,5.0,332134478.0
Joe Pytka,1.0,250200000.0
Scott Derrickson,4.0,542960581.0
Ivan Reitman,8.0,998531399.0
Eric Brevig,2.0,303286201.0
Kelly Asbury,2.0,1042402297.0
Lorna Cook,1.0,122563539.0
Stephen Hopkins,6.0,378023288.0
Jonathan Demme,5.0,575527328.0
Henry Jaglom,1.0,180557.0
James Algar,3.0,441641720.0
Don Hahn,1.0,90874570.0
Gaëtan Brizzi,1.0,90874570.0
Paul Brizzi,1.0,90874570.0
Eric Goldberg,2.0,436954343.0
Hendel Butoy,1.0,90874570.0
Francis Glebas,1.0,90874570.0
Pixote Hunt,1.0,90874570.0
Vincent Ward,1.0,71485043.0
Steven Brill,5.0,273397934.0
Terry Gilliam,7.0,269639170.0
Lucile Hadzihalilovic,1.0,98376.0
Neil Nightingale,1.0,126546518.0
Roger Christian,1.0,21400000.0
Joe Dante,7.0,365199513.0
Kevin Costner,3.0,510131375.0
Antony Hoffman,1.0,33463969.0
Jacques Perrin,2.0,39623486.0
Jacques Cluzaud,1.0,19406406.0
Andrés Couturier,1.0,4651003.0
Cody Cameron,1.0,248384621.0
Kris Pearn,1.0,248384621.0
John Singleton,7.0,632410492.0
Oliver Hirschbiegel,2.0,107252424.0
James McTeigue,5.0,237702648.0
Des McAnuff,1.0,35134820.0
Chris Renaud,3.0,2390234178.0
Stephen Norrington,2.0,310448734.0
Pierre Coffin,3.0,2671006832.0
David Kellogg,1.0,134403.0
Mike Nichols,6.0,259861163.0
Vicky Jenson,3.0,858089482.0
F. Gary Gray,8.0,758327415.0
